"날짜","종가","시가","고가","저가","거래량","변동 %"
"2017- 02- 19","236.74","235.52","236.90","235.41","308.06M","0.70%"
"2017- 02- 12","235.09","232.08","235.16","232.05","375.00M","1.55%"
"2017- 02- 05","231.51","228.87","231.77","228.31","299.26M","0.95%"
"2017- 01- 29","229.34","228.17","229.55","226.32","384.96M","0.16%"
"2017- 01- 22","228.97","226.35","229.71","225.27","374.74M","0.98%"
"2017- 01- 15","226.74","226.31","227.31","225.41","311.81M","-0.14%"
"2017- 01- 08","227.05","226.91","227.45","224.96","320.19M","-0.07%"
"2017- 01- 01","227.21","225.04","227.75","223.88","320.05M","1.65%"
"2016- 12- 25","223.53","226.02","226.73","222.73","264.46M","-0.97%"
"2016- 12- 18","225.71","225.25","226.57","224.92","341.01M","0.30%"
"2016- 12- 11","225.04","226.40","228.34","224.67","636.39M","-0.65%"
"2016- 12- 04","226.51","220.65","226.53","220.42","426.17M","3.11%"
"2016- 11- 27","219.68","221.16","221.82","219.15","413.63M","-0.83%"
"2016- 11- 20","221.52","219.17","221.56","219.00","234.32M","1.38%"
"2016- 11- 13","218.50","217.03","219.27","215.72","407.91M","0.96%"
"2016- 11- 06","216.42","211.45","218.31","211.30","747.66M","3.77%"
"2016- 10- 30","208.55","212.93","213.19","208.38","485.45M","-1.88%"
"2016- 10- 23","212.54","215.00","215.32","211.71","420.24M","-0.67%"
"2016- 10- 16","213.98","213.09","214.64","212.17","364.39M","0.40%"
"2016- 10- 09","213.12","216.16","216.70","211.21","450.79M","-0.89%"
"2016- 10- 02","215.04","215.82","216.30","213.99","428.99M","-0.58%"
"2016- 09- 25","216.30","215.02","217.12","213.62","501.01M","0.14%"
"2016- 09- 18","215.99","214.13","217.53","213.03","410.51M","1.23%"
"2016- 09- 11","213.37","212.39","216.81","212.31","786.10M","0.04%"
"2016- 09- 04","213.28","218.70","219.22","213.25","428.95M","-2.33%"
"2016- 08- 28","218.37","217.44","218.87","216.03","391.02M","0.50%"
"2016- 08- 21","217.29","218.26","219.60","216.25","378.23M","-0.57%"
"2016- 08- 14","218.54","218.89","219.50","217.02","306.59M","0.04%"
"2016- 08- 07","218.46","218.40","218.94","217.23","282.92M","0.13%"
"2016- 07- 31","218.18","217.19","218.23","214.25","338.08M","0.49%"
"2016- 07- 24","217.12","217.00","217.54","215.62","354.59M","-0.06%"
"2016- 07- 17","217.24","215.97","217.37","215.63","301.80M","0.65%"
"2016- 07- 10","215.83","213.19","217.01","212.95","460.62M","1.50%"
"2016- 07- 03","212.65","208.95","212.94","207.06","425.39M","1.30%"
"2016- 06- 26","209.92","201.59","210.49","198.65","816.78M","3.34%"
"2016- 06- 19","203.13","208.82","210.87","202.72","686.99M","-1.64%"
"2016- 06- 12","206.52","209.36","210.37","205.59","618.52M","-1.69%"
"2016- 06- 05","210.07","210.70","212.52","209.43","379.65M","-0.10%"
"2016- 05- 29","210.28","210.56","210.93","208.86","344.62M","0.02%"
"2016- 05- 22","210.24","205.51","210.25","204.99","350.93M","2.31%"
"2016- 05- 15","205.49","204.96","207.34","202.78","536.33M","0.36%"
"2016- 05- 08","204.76","205.57","208.54","204.38","419.64M","-0.47%"
"2016- 05- 01","205.72","206.92","208.18","203.88","417.79M","-0.30%"
"2016- 04- 24","206.33","208.26","209.81","205.03","459.00M","-1.26%"
"2016- 04- 17","208.97","207.14","210.92","207.00","436.89M","0.57%"
"2016- 04- 10","207.78","205.25","208.60","203.70","436.42M","1.60%"
"2016- 04- 03","204.50","206.83","207.07","203.09","463.90M","-1.17%"
"2016- 03- 27","206.92","203.61","207.14","202.40","450.70M","1.87%"
"2016- 03- 20","203.12","204.07","205.23","201.74","335.81M","-0.62%"
"2016- 03- 13","204.38","202.16","205.23","201.05","568.74M","0.80%"
