"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 07- 07","20,965","21,025","21,025","20,565","1.02M","-0.92%"
"2019- 06- 30","21,160","21,550","21,550","20,965","623.43K","-1.19%"
"2019- 06- 23","21,415","21,365","21,490","21,155","484.48K","0.63%"
"2019- 06- 16","21,280","20,940","21,355","20,870","2.48M","1.62%"
"2019- 06- 09","20,940","20,845","21,180","20,780","1.46M","0.99%"
"2019- 06- 02","20,735","20,445","20,870","20,310","1.36M","1.25%"
"2019- 05- 26","20,480","20,490","20,620","20,160","2.20M","-0.05%"
"2019- 05- 19","20,490","20,665","20,800","20,385","1.77M","-0.29%"
"2019- 05- 12","20,550","20,960","21,025","20,550","1.46M","-2.65%"
"2019- 05- 05","21,110","21,795","21,800","20,915","323.86K","-4.09%"
"2019- 04- 28","22,010","21,950","22,185","21,835","1.06M","-0.99%"
"2019- 04- 21","22,230","22,645","22,750","22,155","3.59M","-1.75%"
"2019- 04- 14","22,625","22,850","23,020","22,580","3.79M","-0.72%"
"2019- 04- 07","22,790","22,710","22,830","22,520","3.86M","1.04%"
"2019- 03- 31","22,555","22,005","22,675","22,005","4.10M","3.16%"
"2019- 03- 24","21,865","22,035","22,085","21,715","3.73M","-1.93%"
"2019- 03- 17","22,295","22,295","22,475","21,990","3.53M","0.22%"
"2019- 03- 10","22,245","21,835","22,300","21,735","6.00M","1.67%"
"2019- 03- 03","21,880","22,595","22,620","21,850","4.87M","-2.26%"
"2019- 02- 24","22,385","22,815","22,855","22,385","2.66M","-1.60%"
"2019- 02- 17","22,750","22,580","22,815","22,375","2.58M","1.65%"
"2019- 02- 10","22,380","22,205","22,680","22,115","4.33M","0.79%"
"2019- 02- 03","22,205","22,510","22,580","22,170","2.05M","-1.29%"
"2019- 01- 27","22,495","22,270","22,705","22,050","4.94M","1.10%"
"2019- 01- 20","22,250","21,850","22,250","21,495","3.65M","2.35%"
"2019- 01- 13","21,740","21,205","21,740","21,040","3.93M","2.38%"
"2019- 01- 06","21,235","20,770","21,235","20,685","2.55M","3.48%"
"2018- 12- 30","20,520","20,995","20,995","20,305","3.66M","-1.82%"
"2018- 12- 23","20,900","20,715","20,945","20,250","3.55M","0.70%"
"2018- 12- 16","20,755","20,810","20,955","20,615","808.58K","-0.36%"
"2018- 12- 09","20,830","20,580","21,185","20,570","4.90M","-0.33%"
"2018- 12- 02","20,900","21,325","21,485","20,775","2.08M","-1.02%"
