"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 07- 10","256.72","265.65","266.53","245.94","139.76M","-4.09%"
"2022- 07- 03","267.66","256.16","269.06","254.74","87.31M","3.11%"
"2022- 06- 26","259.58","268.20","268.30","252.90","126.63M","-3.03%"
"2022- 06- 19","267.70","250.25","267.98","249.51","115.67M","8.10%"
"2022- 06- 12","247.65","245.11","255.30","241.51","184.15M","-2.11%"
"2022- 06- 05","252.99","272.06","274.18","252.53","120.52M","-6.31%"
"2022- 05- 29","270.02","272.53","277.69","261.60","135.19M","-1.18%"
"2022- 05- 22","273.24","255.49","273.34","253.43","142.68M","8.19%"
"2022- 05- 15","252.56","259.95","268.33","246.44","164.63M","-3.28%"
"2022- 05- 08","261.12","270.06","273.75","250.02","222.00M","-4.95%"
"2022- 05- 01","274.73","277.71","290.88","271.27","175.77M","-1.01%"
"2022- 04- 24","277.52","273.29","290.98","270.00","216.40M","1.27%"
"2022- 04- 17","274.03","278.91","293.30","273.38","124.84M","-2.07%"
"2022- 04- 10","279.83","291.79","292.61","279.32","115.66M","-5.77%"
"2022- 04- 03","296.97","310.09","315.11","296.28","143.38M","-4.02%"
"2022- 03- 27","309.42","304.33","315.95","304.33","148.67M","1.89%"
"2022- 03- 20","303.68","298.89","305.50","294.90","128.72M","1.08%"
"2022- 03- 13","300.43","280.34","301.00","275.82","176.94M","7.27%"
"2022- 03- 06","280.07","288.53","289.69","270.00","184.36M","-3.38%"
"2022- 02- 27","289.86","294.31","303.13","287.17","157.40M","-2.51%"
"2022- 02- 20","297.31","285.00","297.63","271.52","169.08M","3.26%"
"2022- 02- 13","287.93","293.77","300.87","286.31","160.45M","-2.41%"
"2022- 02- 06","295.04","306.17","311.93","294.22","176.80M","-3.56%"
"2022- 01- 30","305.94","308.95","315.12","299.96","202.86M","-0.75%"
"2022- 01- 23","308.26","292.20","308.50","276.05","352.54M","4.13%"
"2022- 01- 16","296.03","304.07","313.91","295.61","181.73M","-4.57%"
"2022- 01- 09","310.20","309.49","323.41","303.75","193.26M","-1.22%"
"2022- 01- 02","314.04","335.35","338.00","310.09","174.01M","-6.62%"
"2021- 12- 26","336.32","335.46","344.30","335.43","84.65M","0.49%"
"2021- 12- 19","334.69","320.05","336.39","317.57","97.52M","3.36%"
"2021- 12- 12","323.80","340.68","343.79","317.25","191.74M","-5.47%"
"2021- 12- 05","342.54","323.95","343.00","319.23","146.13M","6.05%"
"2021- 11- 28","323.01","334.94","339.28","318.03","177.40M","-2.02%"
"2021- 11- 21","329.68","344.62","349.67","328.12","107.34M","-3.91%"
"2021- 11- 14","343.11","337.54","345.10","334.03","101.09M","1.90%"
"2021- 11- 07","336.72","337.30","338.72","329.92","108.39M","0.20%"
"2021- 10- 31","336.06","331.36","338.79","326.37","121.62M","1.34%"
"2021- 10- 24","331.62","309.36","332.00","306.46","159.31M","7.26%"
"2021- 10- 17","309.16","303.57","311.09","302.69","91.32M","1.63%"
"2021- 10- 10","304.21","292.92","304.45","292.35","113.34M","3.17%"
"2021- 10- 03","294.85","287.40","296.64","280.25","122.46M","1.99%"
"2021- 09- 26","289.10","296.14","296.47","281.29","155.54M","-3.42%"
"2021- 09- 19","299.35","296.33","300.90","289.52","120.87M","-0.17%"
"2021- 09- 12","299.87","297.55","305.32","294.08","134.79M","1.41%"
"2021- 09- 05","295.71","301.00","302.14","295.38","71.79M","-1.80%"
"2021- 08- 29","301.14","301.12","305.19","300.18","92.66M","0.47%"
"2021- 08- 22","299.72","303.25","305.65","296.83","101.28M","-1.52%"
"2021- 08- 15","304.36","293.19","305.84","288.64","135.07M","3.93%"
"2021- 08- 08","292.85","289.75","292.90","285.20","81.51M","1.17%"
"2021- 08- 01","289.46","286.36","289.63","283.74","80.83M","1.60%"
"2021- 07- 25","284.91","289.00","290.15","282.95","129.46M","-1.64%"
"2021- 07- 18","289.67","278.93","289.99","274.45","129.71M","3.18%"
"2021- 07- 11","280.75","279.16","284.10","276.58","116.96M","1.01%"
"2021- 07- 04","277.94","278.03","280.69","274.30","103.36M","0.10%"
"2021- 06- 27","277.65","266.19","278.00","265.91","104.38M","4.77%"
"2021- 06- 20","265.02","259.82","267.85","257.92","117.97M","2.15%"
"2021- 06- 13","259.43","257.90","262.30","254.42","129.18M","0.60%"
"2021- 06- 06","257.89","249.98","258.49","249.81","107.04M","2.83%"
"2021- 05- 30","250.79","251.23","251.65","243.00","93.21M","0.44%"
"2021- 05- 23","249.68","247.78","252.94","247.51","99.59M","1.84%"
"2021- 05- 16","245.17","246.55","248.33","238.60","114.54M","-1.20%"
"2021- 05- 09","248.15","250.87","251.73","238.07","153.15M","-1.71%"
"2021- 05- 02","252.46","253.40","254.35","244.69","127.81M","0.11%"
"2021- 04- 25","252.18","261.66","263.19","249.00","169.21M","-3.43%"
"2021- 04- 18","261.15","260.19","261.78","255.64","114.07M","0.16%"
"2021- 04- 11","260.74","254.71","261.00","254.62","124.56M","1.91%"
"2021- 04- 04","255.85","242.76","255.99","242.70","130.51M","5.57%"
"2021- 03- 28","242.35","236.59","242.84","231.10","123.98M","2.48%"
"2021- 03- 21","236.48","230.27","241.05","230.14","146.93M","2.66%"
"2021- 03- 14","230.35","234.96","240.06","229.35","164.98M","-2.29%"
"2021- 03- 07","235.75","231.37","239.17","227.13","150.66M","1.79%"
"2021- 02- 28","231.60","235.90","237.47","224.26","168.78M","-0.34%"
"2021- 02- 21","232.38","237.42","237.93","227.88","170.38M","-3.56%"
"2021- 02- 14","240.97","245.03","246.13","240.18","90.59M","-1.64%"
"2021- 02- 07","244.99","243.15","245.92","240.81","100.28M","1.15%"
"2021- 01- 31","242.20","235.06","245.09","232.43","129.74M","4.41%"
"2021- 01- 24","231.96","229.12","242.64","224.22","243.81M","2.66%"
"2021- 01- 17","225.95","213.75","230.07","212.63","129.18M","6.25%"
"2021- 01- 10","212.65","218.47","218.91","212.03","127.48M","-3.17%"
"2021- 01- 03","219.62","222.53","223.00","211.94","147.53M","-1.26%"
"2020- 12- 27","222.42","224.45","227.18","219.68","76.55M","-0.15%"
"2020- 12- 20","222.75","217.55","225.63","217.28","89.08M","1.90%"
"2020- 12- 13","218.59","213.10","220.89","212.24","186.71M","2.50%"
"2020- 12- 06","213.26","214.37","216.95","209.11","137.79M","-0.51%"
"2020- 11- 29","214.36","214.10","217.32","210.84","137.51M","-0.40%"
"2020- 11- 22","215.23","210.95","216.27","208.16","95.19M","2.30%"
"2020- 11- 15","210.39","214.87","217.74","209.93","125.12M","-2.83%"
"2020- 11- 08","216.51","224.44","228.12","209.72","158.13M","-3.22%"
"2020- 11- 01","223.72","204.29","224.36","200.12","161.98M","10.50%"
"2020- 10- 25","202.47","213.85","216.34","199.62","193.42M","-6.36%"
"2020- 10- 18","216.23","220.41","222.30","211.70","114.34M","-1.56%"
"2020- 10- 11","219.66","218.79","225.21","216.01","141.65M","1.78%"
"2020- 10- 04","215.81","207.22","215.86","204.82","121.95M","4.67%"
"2020- 09- 27","206.19","210.88","213.99","205.54","150.61M","-0.78%"
"2020- 09- 20","207.82","197.19","209.04","196.38","164.80M","3.71%"
"2020- 09- 13","200.39","204.24","210.65","196.25","167.81M","-1.78%"
"2020- 09- 06","204.03","206.50","214.84","201.24","167.68M","-4.77%"
"2020- 08- 30","214.25","227.00","232.86","205.19","206.71M","-6.40%"
"2020- 08- 23","228.91","214.79","231.15","212.43","172.00M","7.46%"
"2020- 08- 16","213.02","209.60","216.25","208.91","132.38M","1.97%"
"2020- 08- 09","208.90","211.67","211.88","203.14","141.75M","-1.68%"
"2020- 08- 02","212.48","211.52","217.64","210.31","217.60M","3.64%"
"2020- 07- 26","205.01","201.47","205.10","199.01","149.37M","1.84%"
"2020- 07- 19","201.30","205.00","213.94","197.51","231.88M","-0.78%"
"2020- 07- 12","202.88","214.48","215.80","201.39","169.48M","-5.05%"
"2020- 07- 05","213.67","208.83","216.38","207.99","158.40M","3.59%"
"2020- 06- 28","206.26","195.78","208.02","193.55","122.39M","5.06%"
"2020- 06- 21","196.33","195.79","203.95","194.88","182.96M","0.60%"
"2020- 06- 14","195.15","184.58","199.29","184.01","168.52M","3.95%"
"2020- 06- 07","187.74","185.94","198.52","184.44","203.10M","0.29%"
"2020- 05- 31","187.20","182.54","187.73","181.35","149.43M","2.16%"
"2020- 05- 24","183.25","186.34","186.50","176.60","151.57M","-0.14%"
"2020- 05- 17","183.51","185.75","186.67","182.54","143.31M","0.19%"
"2020- 05- 10","183.16","183.15","187.51","175.68","196.13M","-0.82%"
"2020- 05- 03","184.68","174.49","185.00","173.80","158.58M","5.79%"
"2020- 04- 26","174.57","176.59","180.40","169.39","212.12M","0.01%"
"2020- 04- 19","174.55","176.63","178.75","166.11","194.62M","-2.27%"
"2020- 04- 12","178.60","164.35","180.00","162.30","238.97M","8.15%"
"2020- 04- 05","165.14","160.32","170.00","157.58","229.63M","7.35%"
"2020- 03- 29","153.83","152.44","164.78","150.01","290.19M","2.76%"
"2020- 03- 22","149.70","137.01","156.66","132.52","358.87M","8.99%"
"2020- 03- 15","137.35","140.00","150.15","135.00","421.35M","-13.52%"
"2020- 03- 08","158.83","151.00","161.91","138.58","378.23M","-1.70%"
"2020- 03- 01","161.57","165.31","175.00","156.00","313.16M","-0.27%"
"2020- 02- 23","162.01","167.77","174.84","152.00","383.02M","-9.28%"
"2020- 02- 16","178.59","185.60","188.18","177.25","143.31M","-3.65%"
"2020- 02- 09","185.35","183.58","190.70","181.85","194.51M","0.79%"
"2020- 02- 02","183.89","170.43","185.63","170.40","167.05M","8.02%"
"2020- 01- 26","170.23","161.15","174.05","160.20","179.85M","3.14%"
"2020- 01- 19","165.04","166.68","168.19","164.45","98.25M","-1.23%"
"2020- 01- 12","167.10","161.76","167.47","161.26","124.79M","3.57%"
"2020- 01- 05","161.34","157.08","163.22","156.51","112.60M","1.71%"
"2019- 12- 29","158.62","158.99","160.73","156.45","78.51M","-0.21%"
"2019- 12- 22","158.96","158.12","159.55","157.12","59.66M","0.98%"
"2019- 12- 15","157.41","155.11","158.49","153.75","153.14M","1.86%"
"2019- 12- 08","154.53","151.07","154.89","150.33","100.58M","1.83%"
"2019- 12- 01","151.75","151.81","151.87","146.65","104.54M","0.24%"
