"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 11- 08","61.51","60.79","62.18","59.87","10.27M","6.00%"
"2020- 11- 01","58.03","56.25","58.80","55.89","8.21M","4.54%"
"2020- 10- 25","55.51","58.05","58.05","54.26","10.09M","-5.43%"
"2020- 10- 18","58.70","58.87","59.15","57.58","7.35M","-0.05%"
"2020- 10- 11","58.73","58.70","59.02","57.69","6.46M","0.43%"
"2020- 10- 04","58.48","56.02","58.88","56.02","6.64M","5.33%"
"2020- 09- 27","55.52","55.00","55.83","54.37","9.16M","2.30%"
"2020- 09- 20","54.27","55.79","55.79","52.94","8.20M","-4.12%"
"2020- 09- 13","56.60","56.67","57.92","56.31","6.69M","0.80%"
"2020- 09- 06","56.15","56.95","57.03","55.59","7.45M","-2.06%"
"2020- 08- 30","57.33","57.82","58.99","56.57","9.32M","-0.93%"
"2020- 08- 23","57.87","56.68","57.88","56.54","7.92M","2.70%"
"2020- 08- 16","56.35","57.46","57.49","56.13","5.38M","-1.88%"
"2020- 08- 09","57.43","56.31","58.03","56.31","7.08M","2.12%"
"2020- 08- 02","56.24","54.71","56.24","54.34","6.52M","3.21%"
"2020- 07- 26","54.49","53.82","54.85","53.43","6.44M","1.21%"
"2020- 07- 19","53.84","53.30","54.39","52.77","6.41M","0.92%"
"2020- 07- 12","53.35","51.96","53.79","51.23","6.85M","3.61%"
"2020- 07- 05","51.49","52.41","52.70","50.06","6.81M","-0.39%"
"2020- 06- 28","51.69","50.47","52.55","50.26","6.34M","3.32%"
"2020- 06- 21","50.03","52.74","53.37","49.86","15.03M","-5.50%"
"2020- 06- 14","52.94","51.04","54.13","50.81","11.70M","1.50%"
"2020- 06- 07","52.16","55.94","56.54","51.20","13.25M","-6.36%"
"2020- 05- 31","55.70","52.32","56.15","52.17","10.68M","6.05%"
"2020- 05- 24","52.52","51.86","53.13","51.51","6.99M","3.57%"
"2020- 05- 17","50.71","50.85","51.53","50.32","11.12M","2.32%"
"2020- 05- 10","49.56","50.49","51.09","47.89","8.51M","-2.46%"
"2020- 05- 03","50.81","49.01","50.88","48.69","6.98M","3.02%"
"2020- 04- 26","49.32","49.85","51.95","49.14","10.12M","-0.38%"
"2020- 04- 19","49.51","49.10","49.83","47.64","9.44M","-0.78%"
"2020- 04- 12","49.90","48.70","50.03","47.73","11.00M","2.42%"
"2020- 04- 05","48.72","45.85","49.62","45.64","11.41M","9.98%"
"2020- 03- 29","44.30","44.63","45.92","43.18","16.47M","-0.25%"
"2020- 03- 22","44.41","40.30","45.71","38.83","24.87M","9.55%"
"2020- 03- 15","40.54","42.33","46.06","40.48","19.83M","-14.44%"
"2020- 03- 08","47.38","48.72","50.72","43.46","27.27M","-9.27%"
"2020- 03- 01","52.22","51.90","54.83","51.13","20.15M","1.24%"
"2020- 02- 23","51.58","56.86","57.10","49.98","22.62M","-11.37%"
"2020- 02- 16","58.20","58.66","58.83","58.09","4.16M","-1.10%"
"2020- 02- 09","58.85","58.34","59.29","58.34","4.38M","0.63%"
"2020- 02- 02","58.48","57.13","59.12","57.04","5.11M","2.78%"
"2020- 01- 26","56.90","58.00","58.51","56.71","6.31M","-3.30%"
"2020- 01- 19","58.84","59.04","59.56","58.55","4.59M","-0.52%"
"2020- 01- 12","59.15","58.13","59.22","58.03","5.21M","2.00%"
"2020- 01- 05","57.99","57.37","58.37","57.37","4.63M","0.59%"
"2019- 12- 29","57.65","58.15","58.20","57.50","4.13M","-0.86%"
"2019- 12- 22","58.15","58.16","58.22","57.90","2.02M","0.16%"
"2019- 12- 15","58.06","57.68","58.12","57.41","4.17M","1.19%"
"2019- 12- 08","57.38","57.29","57.71","56.86","4.15M","0.07%"
"2019- 12- 01","57.34","57.21","57.50","55.97","4.46M","0.44%"
"2019- 11- 24","57.09","56.80","57.34","56.76","2.47M","0.85%"
"2019- 11- 17","56.61","56.97","57.06","56.25","4.11M","-0.70%"
"2019- 11- 10","57.01","56.66","57.03","56.40","3.29M","0.11%"
"2019- 11- 03","56.95","56.34","57.09","56.27","3.61M","1.53%"
"2019- 10- 27","56.09","55.68","56.10","55.23","3.53M","1.06%"
"2019- 10- 20","55.50","55.00","55.63","54.70","3.18M","1.39%"
"2019- 10- 13","54.74","54.40","54.94","54.27","2.73M","0.50%"
"2019- 10- 06","54.47","54.01","54.91","52.85","4.01M","0.63%"
"2019- 09- 29","54.13","54.61","55.12","52.43","5.40M","-0.70%"
"2019- 09- 22","54.51","54.77","55.21","53.94","4.56M","-0.66%"
"2019- 09- 15","54.87","55.42","55.48","54.83","3.01M","-1.40%"
"2019- 09- 08","55.65","54.68","55.93","54.53","4.23M","2.17%"
"2019- 09- 01","54.47","52.99","54.58","52.60","3.06M","2.29%"
"2019- 08- 25","53.25","52.18","53.55","51.83","3.84M","2.98%"
"2019- 08- 18","51.71","52.71","53.31","51.44","3.70M","-0.82%"
"2019- 08- 11","52.14","52.08","52.85","50.87","3.99M","-0.31%"
"2019- 08- 04","52.30","52.27","52.93","50.94","5.99M","-1.13%"
"2019- 07- 28","52.90","54.96","55.12","52.70","4.69M","-3.89%"
"2019- 07- 21","55.04","53.79","55.08","53.57","3.07M","2.40%"
"2019- 07- 14","53.75","54.15","54.25","53.52","2.62M","-0.59%"
"2019- 07- 07","54.07","53.56","54.10","53.15","2.94M","0.60%"
"2019- 06- 30","53.75","53.73","53.93","53.16","2.63M","1.28%"
"2019- 06- 23","53.07","53.61","53.66","52.72","2.51M","-1.06%"
"2019- 06- 16","53.64","52.76","53.85","52.54","2.49M","1.75%"
"2019- 06- 09","52.72","52.65","53.00","52.50","2.68M","0.63%"
"2019- 06- 02","52.39","49.96","52.64","49.96","3.46M","5.07%"
"2019- 05- 26","49.86","51.48","51.51","49.82","3.12M","-3.00%"
"2019- 05- 19","51.40","51.73","52.23","51.08","3.11M","-1.23%"
"2019- 05- 12","52.04","51.87","52.63","51.36","3.68M","-1.20%"
"2019- 05- 05","52.67","53.16","53.74","51.67","5.01M","-2.44%"
"2019- 04- 28","53.99","53.73","54.07","53.24","3.31M","0.47%"
"2019- 04- 21","53.74","54.11","54.75","53.35","3.34M","-0.87%"
"2019- 04- 14","54.21","53.66","54.44","53.51","2.75M","1.14%"
"2019- 04- 07","53.60","53.23","53.64","52.90","3.35M","0.56%"
"2019- 03- 31","53.30","52.59","53.31","52.50","4.28M","1.95%"
"2019- 03- 24","52.28","51.49","52.32","51.31","4.74M","1.30%"
"2019- 03- 17","51.61","52.33","52.85","51.55","11.47M","-1.26%"
