"Date","Price","Open","High","Low","Vol.","Change %"
"10/22/2023","168.22","170.91","174.01","165.67","286.08M","-2.70%"
"10/15/2023","172.88","176.75","179.07","172.64","288.38M","-3.34%"
"10/08/2023","178.85","176.81","182.34","175.80","241.84M","0.77%"
"10/01/2023","177.49","171.22","177.99","170.82","260.57M","3.67%"
"09/24/2023","171.21","174.20","176.97","167.62","285.84M","-2.05%"
"09/17/2023","174.79","176.48","179.70","173.86","297.40M","-0.13%"
"09/10/2023","175.01","180.07","180.30","173.58","403.75M","-1.78%"
"09/03/2023","178.18","188.28","189.98","173.54","305.13M","-5.95%"
"08/27/2023","189.46","180.09","189.92","178.54","264.20M","6.07%"
"08/20/2023","178.61","175.07","181.55","173.74","247.51M","2.36%"
"08/13/2023","174.49","177.97","179.69","171.96","261.50M","-1.86%"
"08/06/2023","177.79","182.13","183.13","176.55","332.50M","-2.31%"
"07/30/2023","181.99","196.06","196.73","181.92","302.70M","-7.07%"
"07/23/2023","195.83","193.41","197.20","192.25","226.01M","2.03%"
"07/16/2023","191.94","191.90","198.23","191.23","310.91M","0.66%"
"07/09/2023","190.69","189.26","191.70","186.60","250.27M","0.01%"
"07/02/2023","190.68","193.78","193.88","189.20","170.35M","-1.70%"
"06/25/2023","193.97","186.83","194.48","185.23","281.60M","3.91%"
"06/18/2023","186.68","184.41","187.56","182.59","203.68M","0.95%"
"06/11/2023","184.92","181.27","186.99","180.97","333.84M","2.19%"
"06/04/2023","180.96","182.63","184.95","177.32","347.85M","0.01%"
"05/28/2023","180.95","176.96","181.78","176.57","286.49M","3.15%"
"05/21/2023","175.43","173.98","175.77","170.52","250.36M","0.15%"
"05/14/2023","175.16","173.16","176.39","170.42","258.64M","1.50%"
"05/07/2023","172.57","172.48","174.59","171.00","250.06M","-0.58%"
"04/30/2023","173.57","169.28","174.30","164.31","360.72M","2.29%"
"04/23/2023","169.68","165.00","169.85","162.80","256.34M","2.82%"
"04/16/2023","165.02","165.09","168.16","164.03","249.95M","-0.12%"
