"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 25","41.00","38.76","41.35","37.34","506.09M","5.26%"
"2023- 06- 18","38.95","40.29","41.08","38.24","401.43M","-4.53%"
"2023- 06- 11","40.80","37.15","42.44","36.84","604.24M","11.41%"
"2023- 06- 04","36.62","36.76","37.70","34.77","495.18M","-0.54%"
"2023- 05- 28","36.82","36.31","37.19","34.40","457.08M","5.26%"
"2023- 05- 21","34.98","31.68","35.25","29.77","564.87M","10.21%"
"2023- 05- 14","31.74","28.85","32.24","28.43","502.20M","10.48%"
"2023- 05- 07","28.73","28.10","29.30","27.81","494.85M","1.84%"
"2023- 04- 30","28.21","28.14","28.53","26.28","602.90M","-0.14%"
"2023- 04- 23","28.25","26.81","28.28","25.17","629.15M","5.14%"
"2023- 04- 16","26.87","27.35","28.18","26.25","567.94M","-2.18%"
"2023- 04- 09","27.47","26.64","27.93","26.00","663.24M","0.15%"
"2023- 04- 02","27.43","27.68","28.43","26.11","491.30M","-2.94%"
"2023- 03- 26","28.26","25.99","28.32","24.29","631.35M","9.45%"
"2023- 03- 19","25.82","24.43","26.96","23.89","903.53M","5.09%"
"2023- 03- 12","24.57","20.47","25.51","20.13","1.25B","17.67%"
"2023- 03- 05","20.88","23.76","24.48","20.62","985.36M","-11.00%"
"2023- 02- 26","23.46","22.48","23.53","20.95","731.63M","7.76%"
"2023- 02- 19","21.77","23.10","23.45","21.35","670.36M","-9.44%"
"2023- 02- 12","24.04","24.14","26.10","23.30","923.66M","0.92%"
"2023- 02- 05","23.82","24.84","26.69","23.22","984.50M","-6.66%"
"2023- 01- 29","25.52","22.55","27.45","21.85","1.14B","9.39%"
"2023- 01- 22","23.33","20.55","23.82","19.98","948.96M","14.42%"
"2023- 01- 15","20.39","20.06","20.91","18.58","654.10M","1.44%"
"2023- 01- 08","20.10","18.08","20.17","17.70","942.37M","13.95%"
"2023- 01- 01","17.64","17.74","18.04","16.10","812.26M","1.97%"
"2022- 12- 25","17.30","17.46","17.50","16.10","618.06M","-1.65%"
"2022- 12- 18","17.59","19.10","19.25","16.58","886.85M","-7.71%"
"2022- 12- 11","19.06","20.91","24.23","18.71","1.14B","-8.76%"
"2022- 12- 04","20.89","22.88","23.20","20.18","860.48M","-10.76%"
"2022- 11- 27","23.41","21.80","24.17","20.47","929.94M","5.17%"
"2022- 11- 20","22.26","21.52","22.87","20.83","536.51M","1.92%"
"2022- 11- 13","21.84","22.17","23.95","20.91","1.13B","-3.66%"
"2022- 11- 06","22.67","18.16","22.83","17.53","1.35B","26.30%"
"2022- 10- 30","17.95","21.17","21.87","16.85","1.35B","-17.28%"
"2022- 10- 23","21.70","20.63","22.64","19.71","1.31B","5.49%"
"2022- 10- 16","20.57","18.81","21.00","18.73","1.41B","17.07%"
"2022- 10- 09","17.57","19.51","19.98","16.32","1.42B","-9.90%"
"2022- 10- 02","19.50","19.70","23.06","19.16","1.17B","0.93%"
"2022- 09- 25","19.32","21.16","22.59","19.28","1.30B","-9.34%"
"2022- 09- 18","21.31","23.94","25.92","20.45","1.10B","-13.37%"
"2022- 09- 11","24.60","30.30","31.03","23.67","879.80M","-17.56%"
"2022- 09- 04","29.84","26.76","30.02","25.46","701.09M","11.84%"
"2022- 08- 28","26.68","29.35","30.12","26.02","884.13M","-11.77%"
"2022- 08- 21","30.24","33.89","34.74","30.20","609.91M","-14.46%"
"2022- 08- 14","35.35","37.65","39.38","35.06","548.15M","-6.92%"
"2022- 08- 07","37.98","35.60","38.05","33.19","621.64M","7.62%"
"2022- 07- 31","35.29","32.78","36.26","32.21","721.17M","5.79%"
"2022- 07- 24","33.36","29.53","33.65","27.05","705.40M","12.97%"
"2022- 07- 17","29.53","27.61","31.53","25.82","806.93M","10.23%"
"2022- 07- 10","26.79","27.20","27.27","23.62","799.62M","-3.94%"
"2022- 07- 03","27.89","23.41","28.31","23.00","724.27M","14.35%"
"2022- 06- 26","24.39","28.35","28.50","22.75","1.01B","-12.83%"
"2022- 06- 19","27.98","23.82","28.04","23.55","688.20M","23.42%"
"2022- 06- 12","22.67","24.27","25.92","21.32","1.12B","-15.38%"
"2022- 06- 05","26.79","33.62","34.13","26.67","710.43M","-16.65%"
"2022- 05- 29","32.14","33.30","34.98","31.45","714.82M","-3.45%"
"2022- 05- 22","33.29","27.65","33.34","25.42","860.49M","21.76%"
"2022- 05- 15","27.34","31.13","33.08","24.93","902.30M","-13.56%"
"2022- 05- 08","31.63","32.56","33.42","26.69","1.20B","-8.61%"
"2022- 05- 01","34.61","36.25","42.45","33.10","979.31M","-5.26%"
"2022- 04- 24","36.53","40.81","43.16","36.20","823.33M","-12.00%"
"2022- 04- 17","41.51","46.47","50.77","41.28","540.49M","-11.68%"
"2022- 04- 10","47.00","49.83","50.97","46.83","395.88M","-9.34%"
"2022- 04- 03","51.84","58.38","61.55","51.50","520.15M","-10.51%"
"2022- 03- 27","57.93","56.92","62.96","56.33","449.75M","1.76%"
"2022- 03- 20","56.93","52.86","57.56","50.77","491.61M","7.07%"
"2022- 03- 13","53.17","41.81","53.41","39.56","588.74M","25.58%"
"2022- 03- 06","42.34","48.04","48.54","40.77","624.08M","-11.96%"
"2022- 02- 27","48.09","50.46","53.78","47.00","583.38M","-7.36%"
"2022- 02- 20","51.91","49.04","52.01","40.61","575.95M","2.91%"
"2022- 02- 13","50.44","52.90","57.80","49.31","462.16M","-5.33%"
"2022- 02- 06","53.28","59.07","63.08","52.56","493.19M","-9.23%"
"2022- 01- 30","58.70","57.04","65.37","55.89","518.52M","4.13%"
"2022- 01- 23","56.37","53.85","58.85","48.17","966.27M","-0.53%"
"2022- 01- 16","56.67","68.49","69.72","56.50","426.94M","-21.15%"
"2022- 01- 09","71.87","69.18","77.96","66.05","647.91M","-0.23%"
"2022- 01- 02","72.04","83.92","85.94","71.00","613.34M","-13.38%"
"2021- 12- 26","83.17","83.54","87.49","82.86","310.03M","0.51%"
"2021- 12- 19","82.74","72.51","83.64","71.25","384.76M","9.73%"
"2021- 12- 12","75.40","83.74","83.94","73.50","637.82M","-9.95%"
"2021- 12- 05","83.74","75.29","85.25","72.76","598.26M","11.59%"
"2021- 11- 28","75.04","83.10","86.39","72.46","821.32M","-6.69%"
"2021- 11- 21","80.42","89.64","91.68","79.36","390.50M","-9.20%"
"2021- 11- 14","88.57","83.46","89.44","81.04","330.74M","7.07%"
"2021- 11- 07","82.72","85.25","85.95","78.25","363.10M","-3.00%"
"2021- 10- 31","85.28","77.90","86.83","76.59","363.41M","9.93%"
"2021- 10- 24","77.58","71.49","77.70","70.36","348.62M","9.82%"
"2021- 10- 17","70.64","67.13","72.61","66.79","279.19M","4.10%"
"2021- 10- 10","67.86","62.93","67.93","61.31","338.07M","6.46%"
"2021- 10- 03","63.74","62.55","66.17","58.24","481.39M","0.50%"
"2021- 09- 26","63.42","69.11","69.70","60.42","546.37M","-10.54%"
"2021- 09- 19","70.89","67.71","71.29","64.00","405.43M","-0.32%"
"2021- 09- 12","71.12","74.14","74.39","70.48","323.24M","-2.27%"
"2021- 09- 05","72.78","75.78","76.44","72.56","233.11M","-3.90%"
"2021- 08- 29","75.72","73.00","76.41","72.97","233.61M","4.38%"
"2021- 08- 22","72.55","68.51","72.80","68.50","222.34M","6.85%"
"2021- 08- 15","67.90","67.97","68.71","63.72","353.73M","-0.98%"
"2021- 08- 08","68.57","68.46","69.06","66.12","210.34M","0.52%"
"2021- 08- 01","68.21","67.27","69.24","64.93","248.23M","2.78%"
"2021- 07- 25","66.37","68.01","68.79","63.92","305.23M","-2.80%"
"2021- 07- 18","68.28","60.90","68.56","59.83","302.22M","8.79%"
"2021- 07- 11","62.76","65.40","67.04","62.58","303.61M","-2.80%"
"2021- 07- 04","64.57","63.72","65.61","61.12","235.14M","1.92%"
"2021- 06- 27","63.36","59.38","63.58","59.37","210.62M","7.84%"
"2021- 06- 20","58.76","55.31","59.74","54.19","242.98M","6.45%"
"2021- 06- 13","55.19","54.82","57.04","52.76","312.96M","1.07%"
"2021- 06- 06","54.61","51.72","54.62","51.41","209.24M","5.04%"
"2021- 05- 30","51.99","51.92","52.19","48.69","199.62M","1.35%"
"2021- 05- 23","51.29","49.28","52.05","49.11","221.01M","6.37%"
"2021- 05- 16","48.22","47.26","49.97","43.67","364.74M","0.50%"
"2021- 05- 09","47.99","51.24","51.33","43.66","501.02M","-7.54%"
"2021- 05- 02","51.90","54.38","54.74","48.22","405.13M","-3.59%"
"2021- 04- 25","53.83","54.65","56.12","53.29","302.40M","-1.28%"
"2021- 04- 18","54.53","55.08","55.69","51.97","355.62M","-2.46%"
"2021- 04- 11","55.90","53.15","55.99","52.49","312.08M","4.23%"
"2021- 04- 04","53.63","49.10","53.73","48.99","296.60M","11.86%"
"2021- 03- 28","47.95","44.12","48.01","42.48","323.00M","8.18%"
"2021- 03- 21","44.33","44.15","46.61","40.83","487.15M","2.51%"
"2021- 03- 14","43.24","44.40","47.99","41.70","457.64M","-2.30%"
"2021- 03- 07","44.26","41.64","46.13","38.13","469.03M","5.68%"
"2021- 02- 28","41.88","46.68","48.84","37.51","642.82M","-6.12%"
"2021- 02- 21","44.61","50.27","50.90","43.13","451.08M","-14.88%"
"2021- 02- 14","52.41","55.48","55.93","51.14","199.44M","-4.80%"
"2021- 02- 07","55.06","53.48","55.15","51.73","221.32M","4.57%"
"2021- 01- 31","52.65","46.78","53.15","45.87","226.50M","16.39%"
"2021- 01- 24","45.24","51.88","52.53","44.38","353.67M","-10.00%"
"2021- 01- 17","50.26","45.36","51.07","44.90","208.63M","13.34%"
"2021- 01- 10","44.34","46.20","46.83","43.77","328.01M","-6.78%"
"2021- 01- 03","47.57","46.02","47.72","41.71","401.71M","4.66%"
"2020- 12- 27","45.45","44.79","45.85","44.01","224.86M","4.09%"
"2020- 12- 20","43.66","42.39","44.18","41.17","281.05M","0.18%"
"2020- 12- 13","43.58","40.81","44.48","40.79","375.14M","8.08%"
"2020- 12- 06","40.33","41.97","43.17","38.81","423.00M","-3.75%"
"2020- 11- 29","41.90","39.43","42.05","37.65","393.05M","6.60%"
"2020- 11- 22","39.30","36.46","39.77","35.19","278.34M","8.97%"
"2020- 11- 15","36.07","36.19","37.34","35.49","420.06M","-0.60%"
"2020- 11- 08","36.28","38.92","39.60","32.59","710.12M","-4.13%"
"2020- 11- 01","37.85","29.95","38.14","28.40","740.58M","28.91%"
"2020- 10- 25","29.36","33.94","34.99","28.39","824.56M","-15.69%"
"2020- 10- 18","34.83","37.01","37.38","33.37","612.54M","-4.00%"
"2020- 10- 11","36.28","37.10","39.68","35.49","676.56M","2.83%"
"2020- 10- 04","35.28","32.12","35.35","31.29","587.35M","12.22%"
"2020- 09- 27","31.43","32.32","34.52","31.08","756.55M","2.67%"
"2020- 09- 20","30.61","27.81","31.28","27.02","897.70M","5.13%"
"2020- 09- 13","29.12","31.75","33.86","27.69","893.49M","-4.30%"
"2020- 09- 06","30.43","31.24","34.60","29.20","784.46M","-14.07%"
"2020- 08- 30","35.41","39.63","43.92","30.97","834.06M","-10.19%"
"2020- 08- 23","39.43","36.55","39.97","35.11","572.18M","11.60%"
"2020- 08- 16","35.33","32.47","35.50","32.42","399.44M","10.81%"
"2020- 08- 09","31.88","31.82","32.79","29.35","610.22M","0.43%"
"2020- 08- 02","31.75","30.56","32.98","30.51","540.31M","6.37%"
"2020- 07- 26","29.84","27.15","29.88","26.84","681.41M","12.32%"
"2020- 07- 19","26.57","28.20","30.92","25.25","734.48M","-4.96%"
"2020- 07- 12","27.96","30.51","31.49","25.85","866.43M","-5.34%"
"2020- 07- 05","29.54","26.83","29.61","26.82","629.20M","14.39%"
"2020- 06- 28","25.82","22.30","26.47","21.57","495.64M","15.43%"
"2020- 06- 21","22.37","23.48","25.66","22.23","762.75M","-4.73%"
"2020- 06- 14","23.48","20.27","24.31","20.01","771.50M","10.75%"
"2020- 06- 07","21.20","22.40","24.81","20.11","764.92M","-5.66%"
"2020- 05- 31","22.47","20.51","22.63","20.41","612.36M","8.60%"
"2020- 05- 24","20.69","20.76","20.83","18.34","628.33M","4.48%"
"2020- 05- 17","19.81","19.00","20.48","18.81","688.42M","8.68%"
"2020- 05- 10","18.22","18.37","19.53","16.53","930.34M","-2.54%"
"2020- 05- 03","18.70","15.63","18.74","15.52","676.84M","17.76%"
"2020- 04- 26","15.88","16.80","17.62","15.63","881.94M","-2.44%"
"2020- 04- 19","16.27","16.30","16.88","14.08","962.81M","-2.44%"
"2020- 04- 12","16.68","13.50","17.02","13.27","1.19B","22.06%"
"2020- 04- 05","13.67","11.78","14.18","11.59","1.12B","28.88%"
"2020- 03- 29","10.60","11.40","12.88","10.15","1.35B","-4.33%"
"2020- 03- 22","11.09","8.98","12.50","8.07","1.85B","24.87%"
"2020- 03- 15","8.88","10.11","12.15","8.18","1.93B","-37.53%"
"2020- 03- 08","14.21","15.38","17.73","11.10","1.24B","-26.03%"
"2020- 03- 01","19.21","19.82","22.88","17.75","1.00B","-0.21%"
"2020- 02- 23","19.25","24.07","24.90","16.88","915.73M","-28.80%"
"2020- 02- 16","27.03","28.23","29.70","26.68","335.92M","-5.59%"
"2020- 02- 09","28.64","26.50","28.77","26.48","353.94M","7.03%"
"2020- 02- 02","26.75","23.78","27.20","23.73","378.12M","14.29%"
"2020- 01- 26","23.41","23.06","24.94","22.55","464.85M","-5.25%"
"2020- 01- 19","24.71","24.76","25.80","24.38","329.00M","-1.07%"
"2020- 01- 12","24.98","23.68","25.03","23.58","331.26M","6.78%"
"2020- 01- 05","23.39","21.57","23.87","21.49","344.11M","5.87%"
"2019- 12- 29","22.09","21.93","22.71","21.20","237.16M","0.64%"
"2019- 12- 22","21.95","21.50","22.26","21.31","138.55M","3.15%"
"2019- 12- 15","21.28","20.35","21.38","20.34","219.77M","6.60%"
"2019- 12- 08","19.97","19.27","20.18","18.92","313.55M","3.24%"
"2019- 12- 01","19.34","19.43","19.45","17.78","290.40M","-0.50%"
"2019- 11- 24","19.43","18.78","19.70","18.77","150.63M","4.77%"
"2019- 11- 17","18.55","18.78","19.12","18.20","267.48M","-1.34%"
"2019- 11- 10","18.80","18.14","18.83","18.06","258.18M","2.10%"
