"Date","Price","Open","High","Low","Vol.","Change %"
"12/17/2023","16.97","17.24","18.59","16.45","25.66M","-1.68%"
"12/10/2023","17.26","15.45","17.88","14.84","36.13M","11.00%"
"12/03/2023","15.55","15.29","17.41","13.56","77.25M","1.63%"
"11/26/2023","15.30","12.18","17.56","11.89","108.99M","25.41%"
"11/19/2023","12.20","13.00","13.20","12.18","9.61M","-6.37%"
"11/12/2023","13.03","12.50","13.50","11.82","20.48M","3.91%"
"11/05/2023","12.54","13.99","14.05","12.35","12.85M","-9.59%"
"10/29/2023","13.87","13.15","14.40","12.59","18.01M","5.72%"
"10/22/2023","13.12","13.28","14.30","13.02","13.01M","-2.38%"
"10/15/2023","13.44","14.81","14.93","12.90","20.87M","-9.92%"
"10/08/2023","14.92","14.77","16.19","14.72","12.31M","-1.06%"
"10/01/2023","15.08","16.30","16.31","14.44","17.60M","-8.38%"
"09/24/2023","16.46","17.00","18.10","16.40","17.42M","-4.19%"
"09/17/2023","17.18","17.99","18.10","16.65","13.43M","-5.71%"
"09/10/2023","18.22","17.85","18.61","16.90","20.98M","2.88%"
"09/03/2023","17.71","18.45","19.48","17.35","19.60M","-3.85%"
"08/27/2023","18.42","17.35","19.42","17.25","14.41M","7.53%"
"08/20/2023","17.13","18.30","18.82","16.18","16.61M","-6.70%"
"08/13/2023","18.36","19.75","20.01","18.14","12.72M","-9.06%"
"08/06/2023","20.19","20.90","21.24","19.82","8.76M","-3.77%"
"07/30/2023","20.98","22.00","22.38","20.34","10.91M","-4.33%"
"07/23/2023","21.93","22.42","23.49","21.79","12.15M","-1.13%"
"07/16/2023","22.18","22.88","23.80","22.16","12.05M","-3.44%"
"07/09/2023","22.97","22.61","24.44","22.00","12.22M","1.14%"
"07/02/2023","22.71","24.29","25.11","22.67","8.91M","-6.35%"
"06/25/2023","24.25","23.38","25.47","22.91","14.07M","2.32%"
"06/18/2023","23.70","24.41","25.10","23.68","9.82M","-3.50%"
"06/11/2023","24.56","22.84","27.65","22.74","41.49M","8.29%"
"06/04/2023","22.68","24.53","26.55","20.10","56.52M","-7.95%"
"05/28/2023","24.64","23.35","24.93","23.30","16.45M","5.98%"
"05/21/2023","23.25","22.10","24.36","21.99","16.70M","5.39%"
"05/14/2023","22.06","20.62","23.30","20.49","14.49M","6.62%"
"05/07/2023","20.69","20.46","21.16","20.09","9.72M","1.32%"
"04/30/2023","20.42","19.16","20.88","18.06","13.86M","5.86%"
"04/23/2023","19.29","20.15","20.41","18.65","12.67M","-5.86%"
"04/16/2023","20.49","22.27","22.68","20.06","12.42M","-8.77%"
"04/09/2023","22.46","21.85","23.28","21.82","10.97M","0.27%"
"04/02/2023","22.40","22.94","23.85","21.23","13.84M","-2.69%"
"03/26/2023","23.02","23.99","24.01","22.11","21.81M","-4.00%"
"03/19/2023","23.98","16.65","27.00","16.25","107.05M","44.46%"
"03/12/2023","16.60","16.77","17.41","15.53","19.78M","-3.77%"
"03/05/2023","17.25","18.52","19.50","16.85","13.97M","-7.75%"
"02/26/2023","18.70","19.61","19.70","17.62","16.72M","-4.30%"
"02/19/2023","19.54","21.33","21.83","19.53","10.41M","-11.14%"
"02/12/2023","21.99","19.30","22.42","19.01","18.92M","14.12%"
"02/05/2023","19.27","21.88","24.88","19.05","28.05M","-13.39%"
"01/29/2023","22.25","22.50","24.40","20.55","25.19M","-2.50%"
"01/22/2023","22.82","19.50","23.31","19.37","28.50M","16.37%"
"01/15/2023","19.61","20.49","22.15","18.82","19.12M","-4.29%"
"01/08/2023","20.49","16.65","21.11","16.25","27.70M","24.48%"
"01/01/2023","16.46","18.64","19.26","15.41","19.96M","-10.83%"
"12/25/2022","18.46","19.91","19.99","16.98","16.02M","-8.07%"
"12/18/2022","20.08","20.55","21.32","18.50","19.49M","-3.46%"
"12/11/2022","20.80","22.66","23.70","20.01","30.49M","-8.09%"
"12/04/2022","22.63","27.31","27.48","21.97","38.33M","-17.77%"
"11/27/2022","27.52","25.79","27.87","24.91","20.41M","5.16%"
"11/20/2022","26.17","26.66","27.83","24.70","12.54M","-5.18%"
"11/13/2022","27.60","26.30","28.70","25.61","17.76M","5.75%"
"11/06/2022","26.10","26.25","26.30","21.89","26.56M","-1.55%"
"10/30/2022","26.51","31.22","34.99","25.34","40.84M","-5.89%"
"10/23/2022","28.17","25.00","28.79","24.11","25.29M","11.34%"
"10/16/2022","25.30","25.37","27.74","24.07","21.08M","2.72%"
"10/09/2022","24.63","25.37","26.89","23.91","16.69M","-2.84%"
"10/02/2022","25.35","25.14","27.83","24.21","15.91M","0.88%"
"09/25/2022","25.13","24.66","27.69","24.12","17.82M","0.36%"
"09/18/2022","25.04","28.33","29.65","24.06","18.38M","-12.57%"
"09/11/2022","28.64","29.03","30.34","26.65","21.42M","-0.97%"
"09/04/2022","28.92","25.75","29.08","23.42","41.57M","5.70%"
"08/28/2022","27.36","30.48","32.75","26.93","24.48M","-11.57%"
"08/21/2022","30.94","34.31","36.20","30.63","25.28M","-15.21%"
"08/14/2022","36.49","39.75","45.53","34.67","56.31M","-10.43%"
