"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 12- 01","5.30","5.41","5.43","5.01","1.54B","-2.11%"
"2019- 11- 24","5.42","5.40","5.54","5.39","1.25B","2.77%"
"2019- 11- 17","5.27","5.10","5.36","5.09","1.98B","3.28%"
"2019- 11- 10","5.10","5.19","5.30","5.02","2.41B","-1.73%"
"2019- 11- 03","5.19","5.15","5.29","5.10","1.42B","2.56%"
"2019- 10- 27","5.06","5.16","5.22","4.95","1.24B","-0.95%"
"2019- 10- 20","5.11","4.82","5.13","4.78","1.55B","7.38%"
"2019- 10- 13","4.76","4.64","4.98","4.61","1.88B","2.42%"
"2019- 10- 06","4.65","4.61","4.73","4.41","2.02B","2.21%"
"2019- 09- 29","4.55","4.32","4.58","4.25","1.59B","5.94%"
"2019- 09- 22","4.29","4.32","4.48","4.23","1.49B","-0.54%"
"2019- 09- 15","4.32","4.47","4.54","4.31","1.34B","-5.08%"
"2019- 09- 08","4.55","4.50","4.71","4.47","1.78B","1.84%"
"2019- 09- 01","4.47","4.11","4.53","4.08","1.60B","6.65%"
"2019- 08- 25","4.19","4.14","4.27","3.97","1.52B","3.12%"
"2019- 08- 18","4.06","4.10","4.34","4.04","2.58B","1.80%"
"2019- 08- 11","3.99","3.80","4.04","3.68","2.63B","3.49%"
"2019- 08- 04","3.85","3.85","3.96","3.72","1.97B","-4.35%"
"2019- 07- 28","4.03","4.37","4.40","3.98","1.65B","-7.93%"
"2019- 07- 21","4.38","4.23","4.47","4.22","1.78B","3.94%"
"2019- 07- 14","4.21","4.21","4.32","4.12","1.77B","0.50%"
"2019- 07- 07","4.19","3.95","4.26","3.88","2.31B","4.61%"
"2019- 06- 30","4.01","4.31","4.35","3.94","1.75B","-2.44%"
"2019- 06- 23","4.11","3.82","4.13","3.77","2.02B","8.22%"
"2019- 06- 16","3.79","3.61","3.93","3.59","1.97B","4.92%"
"2019- 06- 09","3.62","3.69","3.81","3.57","1.85B","-0.59%"
"2019- 06- 02","3.64","3.40","3.67","3.32","2.39B","7.41%"
"2019- 05- 26","3.39","3.65","3.68","3.38","1.77B","-6.68%"
"2019- 05- 19","3.63","3.81","3.89","3.62","2.21B","-7.27%"
"2019- 05- 12","3.91","4.09","4.11","3.87","3.49B","-7.28%"
"2019- 05- 05","4.22","4.39","4.51","4.10","2.63B","-7.75%"
"2019- 04- 28","4.58","4.46","4.62","4.39","1.84B","2.76%"
"2019- 04- 21","4.45","4.63","4.82","4.33","2.31B","-4.46%"
"2019- 04- 14","4.66","4.74","4.76","4.58","1.57B","-1.89%"
"2019- 04- 07","4.75","4.74","4.84","4.69","2.16B","-0.42%"
"2019- 03- 31","4.77","4.58","4.79","4.51","2.65B","6.24%"
