"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2021","396.71","379.37","398.22","377.27","180.87M","3.12%"
"12/12/2021","384.71","397.79","398.27","381.57","363.46M","-3.29%"
"12/05/2021","397.80","383.43","399.99","379.10","265.32M","3.88%"
"11/28/2021","382.93","395.68","400.98","378.70","403.92M","-2.06%"
"11/21/2021","390.99","405.36","408.50","389.57","230.30M","-3.17%"
"11/14/2021","403.78","395.70","405.09","391.89","181.21M","2.35%"
"11/07/2021","394.49","398.36","399.41","387.33","201.66M","-0.98%"
"10/31/2021","398.39","386.36","400.78","384.22","173.30M","3.23%"
"10/24/2021","385.91","375.36","386.08","373.36","200.87M","3.21%"
"10/17/2021","373.90","367.42","377.27","366.80","156.74M","1.40%"
"10/10/2021","368.75","359.39","368.87","356.29","202.73M","2.16%"
"10/03/2021","360.97","358.33","365.50","350.14","262.04M","0.27%"
"09/26/2021","359.99","370.01","371.06","354.19","316.88M","-3.52%"
"09/19/2021","373.13","367.27","373.84","360.74","245.81M","-0.13%"
"09/12/2021","373.63","378.79","379.23","372.56","220.77M","-0.73%"
"09/05/2021","376.39","381.48","382.58","376.05","126.57M","-1.31%"
"08/29/2021","381.37","376.65","382.51","376.63","135.19M","1.47%"
"08/22/2021","375.84","368.61","376.36","368.60","132.45M","2.26%"
"08/15/2021","367.54","367.48","368.83","359.77","206.37M","-0.30%"
"08/08/2021","368.63","368.33","369.37","364.10","140.68M","0.21%"
"08/01/2021","367.86","366.09","369.72","361.81","147.27M","0.96%"
"07/25/2021","364.38","367.30","368.70","359.97","190.59M","-0.99%"
"07/18/2021","368.01","353.86","368.29","351.86","199.06M","2.97%"
"07/11/2021","357.41","362.26","365.30","357.05","201.43M","-0.95%"
"07/04/2021","360.82","359.07","362.57","354.23","160.18M","0.66%"
"06/27/2021","358.45","350.60","358.78","350.54","163.30M","2.63%"
"06/20/2021","349.28","342.25","351.28","339.97","150.39M","1.99%"
"06/13/2021","342.45","341.50","346.20","337.27","234.33M","0.41%"
"06/06/2021","341.06","334.87","341.07","334.16","136.30M","1.68%"
"05/30/2021","335.42","335.12","335.88","328.11","128.99M","0.50%"
"05/23/2021","333.75","329.20","335.39","326.73","147.06M","2.11%"
"05/16/2021","326.84","324.46","330.69","316.13","239.04M","0.19%"
"05/09/2021","326.22","332.61","332.79","315.83","338.08M","-2.34%"
"05/02/2021","334.02","339.05","339.82","326.04","241.23M","-1.12%"
"04/25/2021","337.81","339.49","342.62","336.72","173.59M","-0.42%"
"04/18/2021","339.24","340.21","341.40","333.79","191.56M","-0.76%"
"04/11/2021","341.83","335.86","342.05","334.55","175.97M","1.45%"
"04/04/2021","336.93","326.96","337.14","324.47","174.36M","3.86%"
"03/28/2021","324.40","315.28","324.54","311.38","209.96M","2.71%"
"03/21/2021","315.83","315.04","320.92","307.23","316.70M","0.91%"
"03/14/2021","312.98","315.62","324.03","309.50","337.70M","-0.73%"
"03/07/2021","315.29","307.96","319.69","299.35","368.40M","2.19%"
"02/28/2021","308.52","319.10","324.16","297.29","444.49M","-1.74%"
"02/21/2021","313.98","326.33","327.63","310.72","417.63M","-5.10%"
"02/14/2021","330.85","337.09","338.01","328.19","129.94M","-1.61%"
"02/07/2021","336.27","332.93","336.44","329.33","108.52M","1.53%"
"01/31/2021","331.19","317.94","332.23","315.85","139.48M","5.34%"
"01/24/2021","314.39","328.74","330.15","312.60","217.94M","-3.34%"
"01/17/2021","325.25","314.09","326.96","312.96","102.19M","4.35%"
"01/10/2021","311.70","315.81","317.36","310.42","143.65M","-2.25%"
"01/03/2021","318.86","314.94","319.22","305.02","191.79M","1.68%"
"12/27/2020","313.58","312.09","314.52","310.20","88.12M","1.35%"
"12/20/2020","309.40","306.30","310.55","303.44","101.46M","-0.16%"
"12/13/2020","309.90","302.92","311.82","302.85","144.96M","2.72%"
"12/06/2020","301.69","305.55","308.44","297.93","142.31M","-1.20%"
"11/29/2020","305.36","299.14","305.72","294.63","121.26M","2.18%"
"11/22/2020","298.85","291.26","300.01","287.92","91.88M","2.97%"
"11/15/2020","290.23","290.53","293.59","288.70","128.71M","-0.19%"
"11/08/2020","290.78","297.15","298.98","280.47","251.06M","-1.25%"
"11/01/2020","294.46","271.59","295.23","266.83","252.33M","9.37%"
"10/25/2020","269.24","282.17","285.15","266.93","231.58M","-5.39%"
"10/18/2020","284.59","290.34","291.33","280.67","155.11M","-1.31%"
"10/11/2020","288.36","290.45","297.30","286.39","263.88M","0.98%"
"10/04/2020","285.56","276.19","285.64","274.11","161.07M","4.15%"
"09/27/2020","274.17","276.47","282.73","271.53","260.52M","1.01%"
"09/20/2020","271.42","262.38","272.94","259.97","273.01M","1.76%"
"09/13/2020","266.73","274.14","280.30","262.49","290.63M","-1.32%"
"09/06/2020","270.31","272.13","282.05","266.76","305.88M","-4.63%"
"08/30/2020","283.43","293.01","303.34","271.66","357.60M","-3.06%"
"08/23/2020","292.38","284.91","293.70","281.12","191.01M","3.78%"
"08/16/2020","281.72","273.77","282.19","272.05","142.80M","3.57%"
"08/09/2020","272.02","271.60","274.69","264.49","179.78M","0.25%"
"08/02/2020","271.33","267.91","274.84","267.73","151.70M","2.14%"
"07/26/2020","265.65","257.22","265.81","256.31","190.84M","4.00%"
"07/19/2020","255.43","259.98","268.27","251.19","219.34M","-1.48%"
"07/12/2020","259.28","266.73","269.65","252.63","273.59M","-1.72%"
"07/05/2020","263.83","255.33","264.09","255.30","174.79M","4.67%"
"06/28/2020","252.06","239.85","254.14","237.23","139.93M","4.99%"
"06/21/2020","240.09","243.64","251.02","239.55","192.63M","-1.65%"
"06/14/2020","244.11","232.32","246.87","231.35","208.95M","3.54%"
"06/07/2020","235.76","239.41","247.68","231.62","271.02M","-1.59%"
